episode,reward,length,success,avg_last_50
1,-1106.7000000000003,500,0,-1106.7000000000003
2,-1358.4999999999943,500,0,-1232.5999999999972
3,275.5,24,1,-729.8999999999982
4,-358.1000000000032,415,1,-636.9499999999994
5,283.0,17,1,-452.95999999999947
6,278.8,21,1,-330.9999999999996
7,290.3,10,1,-242.2428571428568
8,280.9,19,1,-176.84999999999968
9,294.7,6,1,-124.45555555555526
10,292.6,8,1,-82.74999999999974
11,293.7,7,1,-48.527272727272496
12,277.3,22,1,-21.374999999999787
13,-1010.3000000000053,500,0,-97.44615384615405
14,-721.7000000000048,500,0,-142.03571428571482
15,252.89999999999998,45,1,-115.70666666666718
16,296.9,4,1,-89.91875000000047
17,281.7,18,1,-68.05882352941221
18,280.7,19,1,-48.68333333333375
19,243.49999999999997,54,1,-33.305263157895126
20,-562.2000000000044,500,0,-59.75000000000059
21,285.2,15,1,-43.323809523810084
22,288.1,12,1,-28.259090909091444
23,266.5,32,1,-15.443478260870076
24,289.2,11,1,-2.7500000000004925
25,182.40000000000015,111,1,4.655999999999533
26,131.8000000000004,157,1,9.546153846153413
27,294.7,6,1,20.10740740740699
28,222.3,74,1,27.328571428571024
29,281.5,18,1,36.09310344827547
30,275.2,24,1,44.063333333332956
31,214.40000000000003,81,1,49.558064516128674
32,288.2,12,1,57.015624999999645
33,251.89999999999998,46,1,62.92121212121178
34,-986.9000000000053,500,0,32.044117647058336
35,-940.2000000000041,500,0,4.265714285713694
36,295.8,5,1,12.363888888888313
37,183.2000000000001,102,1,16.981081081080525
38,296.9,4,1,24.34736842105209
39,-806.800000000005,500,0,3.0358974358967794
40,-25.300000000000182,264,1,2.327499999999361
41,276.3,23,1,9.009756097560352
42,292.5,8,1,15.7595238095232
43,-1073.9000000000024,500,0,-9.58139534883786
44,293.7,7,1,-2.6886363636369994
45,-957.2000000000041,500,0,-23.900000000000713
46,289.2,11,1,-17.09347826087026
47,269.2,30,1,-11.002127659575148
48,-635.4000000000042,500,0,-24.010416666667425
49,293.6,7,1,-17.52857142857217
50,280.9,19,1,-11.560000000000727
51,243.69999999999996,53,1,15.447999999999283
52,237.09999999999997,60,1,47.359999999999154
53,-743.1000000000037,500,0,26.987999999999083
54,288.1,12,1,39.91199999999915
55,283.8,16,1,39.927999999999145
56,246.99999999999997,50,1,39.29199999999915
57,-1210.599999999997,500,0,9.2739999999992
58,296.9,4,1,9.593999999999204
59,284.9,15,1,9.397999999999197
60,-787.4000000000036,500,0,-12.202000000000872
61,72.40000000000038,155,1,-16.62800000000086
62,218.00000000000003,69,1,-17.814000000000863
63,292.5,8,1,8.241999999999244
64,143.1000000000002,115,1,25.537999999999343
65,-1512.9999999999923,500,0,-9.7800000000005
66,294.7,6,1,-9.824000000000497
67,289.6,11,1,-9.666000000000507
68,-889.9000000000034,500,0,-33.078000000000564
69,132.80000000000027,141,1,-35.29200000000057
70,295.9,5,1,-18.130000000000475
71,-124.00000000000057,190,1,-26.314000000000497
72,289.3,11,1,-26.290000000000486
73,255.99999999999997,43,1,-26.500000000000497
74,130.60000000000016,127,1,-29.672000000000484
75,267.4,32,1,-27.972000000000488
76,-23.70000000000033,171,1,-31.082000000000498
77,296.9,4,1,-31.0380000000005
78,267.3,32,1,-30.1380000000005
79,291.5,9,1,-29.938000000000507
80,128.40000000000006,87,1,-32.8740000000005
81,-587.8000000000018,289,1,-48.91800000000054
82,-32.89999999999998,121,1,-55.340000000000536
83,-121.30000000000041,128,1,-62.80400000000054
84,251.29999999999998,47,1,-38.04000000000043
85,276.6,23,1,-13.704000000000358
86,-466.00000000000193,269,1,-28.9400000000004
87,226.4,71,1,-28.076000000000406
88,-45.40000000000083,276,1,-34.922000000000416
89,168.80000000000018,124,1,-15.410000000000318
90,293.7,7,1,-9.030000000000319
91,249.89999999999998,40,1,-9.558000000000312
92,240.49999999999994,57,1,-10.598000000000324
93,-463.8000000000036,465,1,1.6039999999996553
94,276.5,23,1,1.2599999999996498
95,261.5,37,1,25.63399999999975
96,-50.30000000000081,230,1,18.843999999999728
97,268.0,31,1,18.81999999999973
98,291.5,9,1,37.35799999999981
99,288.2,12,1,37.2499999999998
100,290.4,10,1,37.4399999999998
101,243.39999999999998,54,1,37.43399999999981
102,248.89999999999998,49,1,37.66999999999982
103,285.3,15,1,58.237999999999886
104,-288.2000000000012,166,1,46.71199999999986
105,290.3,10,1,46.841999999999864
106,220.00000000000006,51,1,46.301999999999865
107,194.60000000000008,100,1,74.4059999999998
108,271.2,28,1,73.8919999999998
109,111.00000000000031,152,1,70.41399999999982
110,291.5,9,1,91.99199999999988
111,129.90000000000038,159,1,93.14199999999988
112,291.6,9,1,94.61399999999989
113,241.69999999999996,56,1,93.5979999999999
114,268.9,30,1,96.11399999999986
115,209.90000000000006,85,1,130.57199999999972
116,288.2,12,1,130.44199999999972
117,265.09999999999997,34,1,129.95199999999974
118,197.70000000000005,55,1,151.7039999999998
119,80.90000000000043,199,1,150.6659999999998
120,256.09999999999997,42,1,149.8699999999998
121,266.9,32,1,157.68799999999982
122,107.50000000000006,73,1,154.0519999999998
123,156.10000000000016,78,1,152.05399999999983
124,161.3,90,1,152.66799999999984
125,275.7,24,1,152.8339999999998
126,294.8,6,1,159.2039999999998
127,164.80000000000018,128,1,156.5619999999998
128,271.2,28,1,156.63999999999982
129,267.3,32,1,156.15599999999984
130,262.9,36,1,158.84599999999983
131,268.3,31,1,175.96799999999985
132,270.9,28,1,182.04399999999984
133,70.70000000000033,159,1,185.88399999999987
134,121.20000000000016,120,1,183.2819999999999
135,187.00000000000003,83,1,181.48999999999987
136,270.4,29,1,196.21799999999993
137,207.60000000000005,88,1,195.8419999999999
138,103.3000000000001,77,1,198.81599999999992
139,185.20000000000013,109,1,199.1439999999999
140,242.7,56,1,198.12399999999994
141,276.9,23,1,198.66399999999993
142,209.0,87,1,198.03399999999993
143,137.70000000000022,138,1,210.06400000000002
144,217.3,80,1,208.88
145,-655.1000000000021,364,1,190.54799999999994
146,139.00000000000023,146,1,194.334
147,236.09999999999997,62,1,193.69600000000003
148,168.00000000000014,126,1,191.22600000000003
149,74.20000000000033,172,1,186.94600000000003
150,207.50000000000006,88,1,185.28800000000004
151,120.90000000000003,78,1,182.838
152,158.70000000000016,135,1,181.03400000000002
153,57.30000000000021,130,1,176.47400000000005
154,255.39999999999998,43,1,187.34600000000006
155,-83.70000000000039,152,1,179.866
156,233.99999999999997,64,1,180.14600000000002
157,293.6,7,1,182.12600000000003
158,-26.900000000000432,223,1,176.16400000000002
159,269.59999999999997,30,1,179.336
160,247.7,51,1,178.46000000000004
161,-395.40000000000236,432,1,167.95399999999995
162,250.59999999999997,48,1,167.13399999999993
163,-410.80000000000075,252,1,154.08399999999995
164,48.80000000000024,145,1,149.6819999999999
165,-209.1000000000003,255,1,141.30199999999996
166,295.8,5,1,141.45399999999992
