episode,reward,length,success,avg_last_50
1,-1279.0999999999954,500,0,-1279.0999999999954
2,-1180.8,500,0,-1229.9499999999975
3,-1298.3999999999996,500,0,-1252.7666666666648
4,-1514.5999999999922,500,0,-1318.2249999999967
5,-1253.5000000000007,500,0,-1305.2799999999975
6,-1028.4000000000053,500,0,-1259.133333333332
7,-1326.0999999999988,500,0,-1268.699999999999
8,-929.4000000000055,500,0,-1226.2874999999997
9,-1090.9000000000028,500,0,-1211.2444444444445
10,-1423.0999999999997,500,0,-1232.43
11,-1074.800000000006,500,0,-1218.1000000000006
12,-1784.999999999991,500,0,-1265.3416666666665
13,-322.7000000000028,281,1,-1192.8307692307694
14,-1011.2000000000055,500,0,-1179.8571428571433
15,-407.30000000000405,401,1,-1128.353333333334
16,-887.5000000000053,500,0,-1113.3000000000009
17,-921.7000000000058,500,0,-1102.029411764707
18,-956.3000000000059,500,0,-1093.9333333333348
19,-1433.7999999999952,500,0,-1111.82105263158
20,-1237.9999999999975,500,0,-1118.1300000000008
21,-94.70000000000107,269,1,-1069.395238095239
22,-968.2000000000056,500,0,-1064.7954545454556
23,-331.9000000000012,289,1,-1032.9304347826096
24,209.10000000000005,78,1,-981.1791666666677
25,-1292.199999999997,500,0,-993.6200000000009
26,-542.3000000000037,392,1,-976.2615384615394
27,34.60000000000031,149,1,-938.8222222222232
28,-708.0000000000057,490,1,-930.5785714285727
29,228.5,68,1,-890.6103448275874
30,-425.70000000000164,361,1,-875.1133333333345
31,204.4000000000001,90,1,-840.2903225806463
32,141.70000000000016,99,1,-809.603125000001
33,102.60000000000039,160,1,-781.960606060607
34,118.30000000000018,104,1,-755.4823529411774
35,258.8,40,1,-726.502857142858
36,150.90000000000018,107,1,-702.1305555555564
37,176.20000000000022,100,1,-678.3918918918927
38,150.00000000000026,99,1,-656.5921052631587
39,246.79999999999995,51,1,-633.428205128206
40,162.90000000000018,121,1,-613.5200000000008
41,173.70000000000016,102,1,-594.3195121951227
42,-495.700000000002,267,1,-591.9714285714293
43,205.50000000000006,73,1,-573.4255813953496
44,206.8,55,1,-555.6931818181826
45,-145.60000000000105,259,1,-546.5800000000007
46,96.60000000000022,124,1,-532.5978260869573
47,212.10000000000002,75,1,-516.7531914893625
48,213.50000000000006,82,1,-501.53958333333406
49,156.00000000000026,94,1,-488.120408163266
50,-225.8000000000004,216,1,-482.87400000000065
51,146.80000000000018,110,1,-454.3560000000008
52,38.70000000000016,136,1,-429.9660000000008
53,153.60000000000008,71,1,-400.92600000000084
54,-257.80000000000166,293,1,-375.79000000000104
55,-1085.2000000000025,500,0,-372.4240000000011
56,181.50000000000006,70,1,-348.2260000000009
57,234.5,46,1,-317.0140000000009
58,163.6000000000001,95,1,-295.1540000000008
59,231.99999999999997,65,1,-268.69600000000077
60,219.50000000000003,76,1,-235.84400000000073
61,-615.6000000000037,369,1,-226.66000000000074
62,170.40000000000012,97,1,-187.55200000000093
63,216.50000000000003,79,1,-176.76800000000085
64,234.99999999999994,62,1,-151.84400000000076
65,241.39999999999998,56,1,-138.8700000000007
66,193.20000000000005,76,1,-117.25600000000058
67,215.2,80,1,-94.51800000000047
68,127.80000000000027,128,1,-72.83600000000034
69,128.60000000000028,145,1,-41.58800000000043
70,241.49999999999997,56,1,-11.998000000000467
71,237.89999999999995,59,1,-5.3460000000004495
72,249.09999999999997,49,1,18.99999999999967
73,-1587.7999999999943,500,0,-6.1180000000001975
74,11.900000000000205,186,1,-10.062000000000191
75,9.499999999999886,179,1,15.971999999999746
76,-251.8000000000011,222,1,21.781999999999798
77,171.10000000000016,113,1,24.511999999999794
78,190.10000000000008,87,1,42.47399999999991
79,205.50000000000009,89,1,42.01399999999992
80,-1133.4000000000028,500,0,27.859999999999882
81,235.89999999999998,61,1,28.489999999999892
82,93.30000000000018,111,1,27.52199999999989
83,240.19999999999996,57,1,30.273999999999884
84,-9.599999999999852,198,1,27.71599999999988
85,187.90000000000018,89,1,26.297999999999874
86,181.80000000000018,111,1,26.91599999999988
87,202.70000000000007,92,1,27.445999999999877
88,162.40000000000015,104,1,27.693999999999875
89,-749.5000000000045,483,1,7.767999999999784
90,86.00000000000051,192,1,6.229999999999792
91,151.90000000000023,122,1,5.793999999999789
92,-581.4000000000036,378,1,4.079999999999759
93,198.2000000000001,96,1,3.9339999999997564
94,-328.3000000000022,333,1,-6.768000000000286
95,-7.300000000000182,203,1,-4.002000000000271
96,198.8000000000001,87,1,-1.9580000000002673
97,125.50000000000043,163,1,-3.690000000000264
98,-92.20000000000016,283,1,-9.804000000000263
99,-323.8000000000027,422,1,-19.400000000000322
100,-318.20000000000186,260,1,-21.248000000000342
101,-202.10000000000213,351,1,-28.226000000000393
102,16.79999999999984,190,1,-28.664000000000396
103,129.90000000000032,151,1,-29.138000000000396
104,91.50000000000023,137,1,-22.152000000000353
105,-18.899999999999977,197,1,-0.8260000000003083
106,-126.40000000000185,298,1,-6.984000000000338
107,202.40000000000003,59,1,-7.626000000000346
108,27.200000000000387,196,1,-10.354000000000344
109,128.80000000000024,136,1,-12.418000000000333
110,-1024.8000000000059,500,0,-37.30400000000046
111,-539.7000000000038,500,0,-35.786000000000456
112,57.50000000000054,202,1,-38.04400000000045
113,-689.6000000000035,500,0,-56.16600000000052
114,-125.900000000001,272,1,-63.38400000000054
115,-670.2000000000049,500,0,-81.61600000000062
116,-797.8000000000053,500,0,-101.43600000000075
117,-735.1000000000043,500,0,-120.44200000000083
118,-833.5000000000045,500,0,-139.66800000000092
119,200.90000000000006,94,1,-138.22200000000095
120,-608.9000000000044,500,0,-155.230000000001
121,-1020.4000000000037,500,0,-180.39600000000107
122,-861.0000000000063,500,0,-202.5980000000012
123,-782.5000000000053,500,0,-186.49200000000144
124,209.50000000000003,61,1,-182.5400000000014
125,-926.5000000000056,500,0,-201.26000000000155
126,-1068.3000000000047,500,0,-217.5900000000016
127,-602.5000000000044,500,0,-233.0620000000017
128,72.9000000000006,204,1,-235.40600000000165
129,-234.30000000000257,371,1,-244.20200000000176
130,-620.0000000000043,500,0,-233.93400000000176
131,-592.3000000000043,500,0,-250.4980000000019
132,-158.00000000000182,352,1,-255.52400000000193
133,-744.9000000000053,500,0,-275.22600000000205
134,37.40000000000043,195,1,-274.28600000000205
135,-27.400000000000716,264,1,-278.5920000000021
136,181.80000000000015,111,1,-278.59200000000203
137,177.30000000000013,99,1,-279.10000000000207
138,-583.500000000004,500,0,-294.01800000000213
139,96.50000000000048,182,1,-277.098000000002
140,85.90000000000038,159,1,-277.100000000002
141,-343.9000000000044,423,1,-287.0160000000021
142,120.0000000000004,169,1,-272.98800000000205
143,-583.4000000000041,500,0,-288.62000000000205
144,-156.9000000000022,409,1,-285.1920000000021
145,89.00000000000054,197,1,-283.2660000000021
146,-197.5000000000029,422,1,-291.19200000000217
147,-541.4000000000043,500,0,-304.53000000000225
148,198.60000000000008,96,1,-298.7140000000023
149,124.7000000000001,81,1,-289.7440000000022
150,144.10000000000028,138,1,-280.4980000000021
151,210.60000000000005,84,1,-272.2440000000021
152,-52.80000000000069,238,1,-273.63600000000207
153,184.8,67,1,-272.5380000000021
154,-157.50000000000193,342,1,-277.5180000000022
155,45.90000000000077,237,1,-276.22200000000214
156,243.39999999999998,54,1,-268.82600000000207
157,109.70000000000044,170,1,-270.68000000000205
158,-97.60000000000002,155,1,-273.17600000000203
159,149.39999999999998,75,1,-272.7640000000021
160,-12.299999999999955,142,1,-252.51400000000194
161,218.70000000000005,77,1,-237.34600000000188
162,134.1000000000001,81,1,-235.81400000000187
163,131.3,84,1,-219.39600000000183
164,155.80000000000027,135,1,-213.76200000000182
165,253.59999999999997,45,1,-195.2860000000017
166,221.5,74,1,-174.90000000000163
167,-89.09999999999974,172,1,-161.98000000000155
168,241.19999999999996,56,1,-140.48600000000144
169,237.89999999999995,59,1,-139.74600000000146
170,9.500000000000057,122,1,-127.37800000000138
171,237.59999999999997,60,1,-102.21800000000128
172,130.60000000000002,76,1,-82.38600000000115
173,239.29999999999995,58,1,-61.950000000001076
174,244.69999999999996,53,1,-61.24600000000106
175,245.69999999999996,52,1,-37.80200000000095
176,255.59999999999997,43,1,-11.324000000000856
177,239.19999999999996,58,1,5.509999999999236
178,247.99999999999997,50,1,9.01199999999922
179,205.7,56,1,17.811999999999266
180,247.79999999999998,50,1,35.16799999999936
181,256.7,42,1,52.14799999999945
182,257.09999999999997,42,1,60.449999999999484
183,178.5000000000001,90,1,78.91799999999958
184,273.09999999999997,27,1,83.63199999999959
185,220.29999999999995,59,1,88.5859999999996
186,223.7,72,1,89.4239999999996
187,215.60000000000005,80,1,90.1899999999996
188,178.09999999999997,65,1,105.42199999999968
189,248.99999999999997,49,1,108.47199999999968
190,146.0,70,1,109.67399999999965
191,171.10000000000005,88,1,119.97399999999976
192,251.19999999999996,47,1,122.59799999999974
193,232.79999999999998,56,1,138.9219999999998
194,255.59999999999997,43,1,147.17199999999985
195,143.30000000000007,97,1,148.25799999999984
196,167.7,50,1,155.5619999999999
197,119.20000000000016,120,1,168.774
198,163.5000000000001,79,1,168.072
199,121.60000000000016,101,1,168.01
200,224.10000000000002,72,1,169.61
201,272.0,28,1,170.838
202,203.70000000000007,91,1,175.96800000000002
203,246.39999999999998,52,1,177.2
204,254.59999999999997,44,1,185.44200000000004
205,183.10000000000014,110,1,188.18600000000004
206,241.29999999999995,56,1,188.144
207,250.2,48,1,190.954
208,107.00000000000006,98,1,195.04600000000002
209,148.20000000000033,134,1,195.02200000000002
210,81.30000000000001,80,1,196.894
211,235.09999999999997,62,1,197.222
212,241.39999999999998,56,1,199.368
213,222.49999999999997,57,1,201.192
214,197.0000000000001,97,1,202.016
215,149.6000000000003,125,1,199.93600000000004
216,144.40000000000018,130,1,198.39399999999998
217,222.29999999999995,74,1,204.622
218,145.90000000000012,95,1,202.71599999999995
219,-776.899999999999,222,1,182.42
220,94.1,85,1,184.112
221,212.10000000000002,83,1,183.60200000000003
222,-1088.3000000000031,500,0,159.224
223,241.89999999999998,56,1,159.27599999999995
224,159.60000000000014,107,1,157.57399999999998
225,244.69999999999996,53,1,157.554
226,190.5,78,1,156.25199999999998
227,160.10000000000005,57,1,154.67
228,264.29999999999995,35,1,154.996
229,26.0,82,1,151.402
230,194.60000000000005,83,1,150.338
231,218.8,77,1,149.58
232,247.89999999999998,50,1,149.396
233,254.5,44,1,150.916
234,240.99999999999997,40,1,150.27399999999997
235,40.600000000000364,151,1,146.68
236,248.79999999999998,41,1,147.18200000000002
237,263.3,36,1,148.13600000000002
238,229.5,59,1,149.164
239,-316.0000000000002,126,1,137.864
240,262.09999999999997,37,1,140.18600000000004
241,268.7,31,1,142.138
242,242.29999999999995,55,1,141.96
243,222.8,73,1,141.76000000000002
244,231.59999999999997,57,1,141.28000000000003
245,192.3000000000001,85,1,142.26000000000002
246,204.3,82,1,142.99200000000002
247,-473.30000000000155,205,1,131.14199999999997
248,217.6,78,1,132.224
249,-23.500000000000284,103,1,129.32199999999997
250,257.7,41,1,129.99399999999997
251,247.99999999999997,50,1,129.51399999999995
252,235.5,45,1,130.14999999999995
253,269.7,30,1,130.61599999999993
254,276.4,24,1,131.05199999999996
255,263.2,36,1,132.6539999999999
256,265.3,34,1,133.13399999999993
257,154.30000000000004,46,1,131.21599999999995
258,248.99999999999997,49,1,134.05599999999995
259,252.09999999999997,46,1,136.13399999999993
260,248.09999999999997,50,1,139.46999999999994
261,250.2,48,1,139.77199999999993
262,259.79999999999995,39,1,140.13999999999993
263,166.0,68,1,139.00999999999993
264,-1233.4999999999977,500,0,110.39999999999996
265,211.50000000000006,84,1,111.63799999999996
266,240.09999999999997,57,1,113.55199999999996
267,-487.90000000000293,275,1,99.34799999999991
268,212.30000000000004,50,1,100.67599999999992
269,-178.90000000000202,303,1,112.63599999999985
270,236.29999999999995,61,1,115.47999999999985
271,-1170.0000000000023,500,0,87.83799999999981
272,-433.5000000000025,298,1,100.93399999999981
273,-241.79999999999995,164,1,91.25999999999982
274,-301.4000000000034,292,1,82.03999999999975
275,-849.2000000000071,500,0,60.16199999999961
276,268.59999999999997,31,1,61.723999999999606
277,185.70000000000013,99,1,62.235999999999606
278,213.20000000000002,74,1,61.21399999999961
279,245.3,36,1,65.5999999999996
280,208.90000000000003,86,1,65.88599999999961
281,-11.900000000000261,92,1,61.27199999999961
282,269.7,30,1,61.70799999999961
283,247.79999999999998,50,1,61.57399999999961
284,37.100000000000534,219,1,57.49599999999962
285,241.2,48,1,61.507999999999605
286,171.10000000000016,113,1,59.95399999999962
287,264.2,35,1,59.97199999999962
288,225.2,71,1,59.885999999999605
289,273.1,27,1,71.66799999999961
290,268.8,31,1,71.80199999999962
291,268.7,31,1,71.80199999999962
292,263.2,36,1,72.2199999999996
293,76.30000000000001,44,1,69.28999999999962
294,271.9,28,1,70.09599999999962
295,250.09999999999997,48,1,71.25199999999961
296,277.4,23,1,72.71399999999961
297,273.0,27,1,87.63999999999963
298,271.9,28,1,88.72599999999964
299,270.8,29,1,94.61199999999967
300,188.8,47,1,93.23399999999967
301,266.5,33,1,93.60399999999964
302,249.0,41,1,93.87399999999965
303,258.9,40,1,93.65799999999965
304,170.8,39,1,91.54599999999965
305,267.6,32,1,91.63399999999967
306,277.5,23,1,91.87799999999966
307,272.0,28,1,94.23199999999964
308,265.3,34,1,94.55799999999965
309,225.5,38,1,94.02599999999966
310,270.9,29,1,94.48199999999964
311,275.2,25,1,94.98199999999964
312,263.09999999999997,36,1,95.04799999999965
313,258.7,40,1,96.90199999999966
314,278.5,22,1,127.14199999999958
315,263.3,36,1,128.1779999999996
316,267.59999999999997,32,1,128.7279999999996
317,270.9,29,1,143.90399999999966
318,243.1,38,1,144.51999999999964
319,252.29999999999998,46,1,153.1439999999997
320,239.79999999999998,41,1,153.21399999999971
