episode,reward,length,success,avg_last_50
1,200.70000000000005,77,1,200.70000000000005
2,79.40000000000035,123,1,140.05000000000018
3,-1283.6999999999985,500,0,-334.5333333333327
4,-1274.9999999999964,500,0,-569.6499999999986
5,-315.1000000000033,461,1,-518.7399999999996
6,-1014.2000000000048,500,0,-601.3166666666672
7,-926.100000000006,500,0,-647.714285714287
8,-862.9000000000054,500,0,-674.6125000000018
9,-925.7000000000054,500,0,-702.5111111111132
10,-754.2000000000044,500,0,-707.6800000000023
11,-863.3000000000044,500,0,-721.8272727272753
12,-764.7000000000054,500,0,-725.4000000000028
13,-853.2000000000064,500,0,-735.2307692307724
14,-712.1000000000042,500,0,-733.5785714285746
15,-722.6000000000051,500,0,-732.84666666667
16,-812.5000000000059,500,0,-737.8250000000035
17,-643.0000000000049,500,0,-732.2470588235329
18,-553.6000000000043,500,0,-722.3222222222258
19,61.600000000000534,189,1,-681.0631578947402
20,-912.8000000000055,500,0,-692.6500000000035
21,-715.1000000000049,500,0,-693.7190476190511
22,-679.3000000000045,500,0,-693.06363636364
23,76.3000000000005,174,1,-659.6130434782643
24,130.70000000000041,157,1,-626.6833333333366
25,-964.0000000000058,500,0,-640.1760000000033
26,-742.6000000000051,500,0,-644.1153846153879
27,-850.1000000000068,500,0,-651.7444444444479
28,-904.4000000000059,500,0,-660.7678571428606
29,-770.100000000005,500,0,-664.5379310344863
30,89.80000000000047,170,1,-639.3933333333368
31,130.30000000000032,141,1,-614.5645161290356
32,-671.2000000000045,500,0,-616.3343750000034
33,-708.0000000000056,500,0,-619.1121212121247
34,-752.7000000000061,500,0,-623.0411764705918
35,-858.9000000000053,500,0,-629.7800000000036
36,-20.500000000000682,254,1,-612.855555555559
37,-778.9000000000051,500,0,-617.3432432432468
38,-65.60000000000161,230,1,-602.8236842105298
39,58.700000000000756,214,1,-585.8615384615418
40,-734.9000000000048,500,0,-589.5875000000035
41,-840.9000000000075,500,0,-595.7170731707353
42,-289.300000000003,377,1,-588.4214285714321
43,2.6999999999999886,265,1,-574.6744186046546
44,-761.9000000000045,500,0,-578.9295454545489
45,108.10000000000039,153,1,-563.6622222222256
46,-707.800000000006,500,0,-566.7956521739164
47,-699.400000000005,500,0,-569.6170212765992
48,-752.5000000000064,500,0,-573.4270833333368
49,-198.30000000000348,392,1,-565.771428571432
50,69.00000000000071,213,1,-553.0760000000034
51,-619.0000000000049,500,0,-569.4700000000036
52,-636.3000000000048,500,0,-583.7840000000037
53,-663.9000000000054,500,0,-571.3880000000038
54,-654.8000000000051,500,0,-558.984000000004
55,-619.300000000006,500,0,-565.0680000000041
56,-592.8000000000053,500,0,-556.6400000000041
57,-698.6000000000048,500,0,-552.0900000000041
58,-680.4000000000061,500,0,-548.440000000004
59,-752.000000000006,500,0,-544.9660000000041
60,48.30000000000055,183,1,-528.916000000004
61,58.80000000000081,222,1,-510.47400000000385
62,-645.7000000000052,500,0,-508.09400000000386
63,-619.1000000000051,500,0,-503.41200000000384
64,-672.4000000000059,500,0,-502.61800000000386
65,-680.8000000000058,500,0,-501.7820000000039
66,103.80000000000058,181,1,-483.45600000000377
67,-726.200000000006,500,0,-485.1200000000037
68,66.60000000000073,215,1,-472.71600000000365
69,-940.6000000000066,500,0,-492.7600000000037
70,-691.2000000000063,500,0,-488.32800000000384
71,-672.5000000000069,500,0,-487.4760000000039
72,-627.600000000006,500,0,-486.4420000000039
73,-87.3000000000016,274,1,-489.7140000000039
74,-618.1000000000055,500,0,-504.6900000000041
75,-601.1000000000048,500,0,-497.43200000000405
76,-877.7000000000063,500,0,-500.1340000000041
77,-548.3000000000051,500,0,-494.0980000000041
78,-726.6000000000057,500,0,-490.54200000000407
79,-557.000000000005,500,0,-486.280000000004
80,-601.000000000005,500,0,-500.09600000000404
81,-565.8000000000054,500,0,-514.0180000000042
82,-6.500000000000114,249,1,-500.72400000000414
83,-628.1000000000054,500,0,-499.1260000000041
84,-700.600000000006,500,0,-498.08400000000415
85,-107.50000000000222,373,1,-483.0560000000041
86,-700.6000000000058,500,0,-496.65800000000417
87,10.300000000000239,266,1,-480.8740000000041
88,-575.4000000000054,500,0,-491.07000000000414
89,-672.3000000000054,500,0,-505.6900000000042
90,-754.1000000000059,500,0,-506.07400000000433
91,-426.70000000000516,453,1,-497.7900000000042
92,-583.900000000005,500,0,-503.6820000000043
93,-575.5000000000049,500,0,-515.2460000000043
94,-47.10000000000099,294,1,-500.95000000000437
95,-618.600000000006,500,0,-515.4840000000045
96,57.600000000000705,207,1,-500.17600000000436
97,-60.900000000000375,266,1,-487.4060000000042
98,-709.5000000000055,500,0,-486.54600000000426
99,-575.0000000000053,500,0,-494.0800000000043
100,-726.000000000005,500,0,-509.9800000000043
101,-574.7000000000048,500,0,-509.09400000000437
102,-548.0000000000048,500,0,-507.3280000000043
103,-788.700000000005,500,0,-509.8240000000044
104,-682.9000000000049,500,0,-510.38600000000434
105,-547.900000000005,500,0,-508.9580000000044
106,-682.8000000000061,500,0,-510.7580000000044
107,-29.600000000000648,278,1,-497.3780000000043
108,-203.60000000000406,461,1,-487.84200000000436
109,-566.1000000000051,500,0,-484.1240000000043
110,-601.5000000000049,500,0,-497.12000000000427
111,-548.000000000005,500,0,-509.2560000000044
112,-788.7000000000053,500,0,-512.1160000000044
113,-548.600000000005,500,0,-510.70600000000445
114,99.30000000000061,185,1,-495.2720000000043
115,-369.50000000000534,466,1,-489.04600000000426
116,5.0000000000001705,271,1,-491.02200000000425
117,137.8000000000004,150,1,-473.74200000000417
118,-548.100000000005,500,0,-486.0360000000044
119,-850.9000000000069,500,0,-484.24200000000434
120,-64.70000000000141,310,1,-471.71200000000425
121,35.80000000000081,243,1,-457.5460000000041
122,-904.000000000007,500,0,-463.0740000000041
123,-752.7000000000056,500,0,-476.3820000000041
124,-255.90000000000475,492,1,-469.1380000000042
125,-548.000000000005,500,0,-468.0760000000041
126,-157.00000000000313,386,1,-453.66200000000407
127,17.700000000000216,235,1,-442.34200000000396
128,-815.3000000000055,500,0,-444.11600000000396
129,-743.800000000006,500,0,-447.85200000000407
130,-93.80000000000115,280,1,-437.7080000000039
131,-574.4000000000049,500,0,-437.8800000000039
132,-26.399999999999693,267,1,-438.2780000000039
133,63.500000000000426,161,1,-424.44600000000383
134,-548.2000000000049,500,0,-421.39800000000366
135,72.00000000000074,210,1,-417.8080000000037
136,61.70000000000064,195,1,-402.56200000000354
137,-787.6000000000053,500,0,-418.5200000000036
138,31.60000000000025,182,1,-406.3800000000036
139,114.50000000000034,139,1,-390.6440000000034
140,158.0000000000003,132,1,-372.40200000000334
141,188.50000000000017,104,1,-360.09800000000325
142,-832.5000000000043,500,0,-365.0700000000031
143,163.00000000000014,103,1,-350.30000000000297
144,74.10000000000073,208,1,-347.876000000003
145,-682.2000000000054,500,0,-349.1480000000029
146,-1108.100000000003,500,0,-372.462000000003
147,-1376.099999999995,500,0,-398.766000000003
148,-296.5000000000016,262,1,-390.5060000000028
149,-1090.7000000000041,500,0,-400.82000000000284
150,236.79999999999995,60,1,-381.5640000000028
151,104.40000000000035,140,1,-367.98200000000264
152,-787.4000000000043,500,0,-372.7700000000026
153,-832.0000000000053,500,0,-373.6360000000027
154,-911.6000000000059,500,0,-378.2100000000026
155,181.90000000000012,86,1,-363.61400000000253
156,-1028.3000000000059,500,0,-370.52400000000256
157,115.00000000000054,171,1,-367.63200000000256
158,18.00000000000057,211,1,-363.2000000000025
159,-663.4000000000051,500,0,-365.14600000000246
160,167.70000000000027,123,1,-349.7620000000024
161,180.9000000000002,111,1,-335.1840000000022
162,168.80000000000024,122,1,-316.03400000000215
163,218.20000000000005,77,1,-300.698000000002
164,228.8,43,1,-298.10800000000205
165,154.3000000000003,135,1,-287.63200000000194
166,-787.4000000000044,500,0,-303.48000000000206
167,121.8000000000001,100,1,-303.8000000000021
168,-600.3000000000048,500,0,-304.8440000000021
169,-760.5000000000055,500,0,-303.03600000000205
170,136.2000000000002,95,1,-299.018000000002
171,3.300000000000068,224,1,-299.66800000000205
172,207.10000000000002,79,1,-277.4460000000019
173,230.29999999999998,66,1,-257.7860000000018
174,197.30000000000007,88,1,-248.7220000000017
175,259.9,39,1,-232.5640000000016
176,-796.3000000000052,500,0,-245.35000000000161
177,-672.4000000000053,500,0,-259.1520000000017
178,-662.8000000000047,500,0,-256.10200000000174
179,184.1000000000002,108,1,-237.5440000000016
180,-706.9000000000057,500,0,-249.80600000000163
181,228.49999999999997,68,1,-233.74800000000155
182,-574.000000000005,500,0,-244.70000000000167
183,-599.6000000000058,500,0,-257.9620000000018
184,-600.500000000006,500,0,-259.0080000000018
185,-574.2000000000049,500,0,-271.9320000000019
186,-591.600000000005,500,0,-284.99800000000204
187,-556.000000000005,500,0,-280.36600000000203
188,-565.000000000005,500,0,-292.29800000000216
189,60.50000000000077,213,1,-293.3780000000022
190,-993.0000000000064,500,0,-316.3980000000023
191,-1108.900000000003,500,0,-342.34600000000233
192,-636.2000000000068,500,0,-338.4200000000024
193,-6.000000000000341,241,1,-341.8000000000024
194,180.8000000000002,111,1,-339.66600000000244
195,-573.6000000000049,500,0,-337.49400000000236
196,-144.8000000000029,392,1,-318.22800000000245
197,-72.20000000000084,261,1,-292.15000000000254
198,176.70000000000022,115,1,-282.6860000000025
199,-574.100000000005,500,0,-272.3540000000025
200,226.99999999999997,61,1,-272.5500000000025
201,151.50000000000037,138,1,-271.6080000000025
202,-574.3000000000048,500,0,-267.3460000000025
203,-751.600000000008,500,0,-265.7380000000025
204,-182.60000000000252,248,1,-251.15800000000246
205,211.80000000000007,83,1,-250.56000000000247
206,-627.9000000000049,500,0,-242.5520000000025
207,-547.900000000005,500,0,-255.8100000000026
208,162.3000000000003,120,1,-252.92400000000256
209,-565.1000000000049,500,0,-250.9580000000025
210,129.3000000000005,158,1,-251.72600000000256
211,-1037.6000000000058,500,0,-276.0960000000027
212,-574.000000000005,500,0,-290.9520000000028
213,-565.400000000005,500,0,-306.62400000000287
214,75.90000000000052,158,1,-309.6820000000029
215,-600.4000000000051,500,0,-324.776000000003
216,115.90000000000038,146,1,-306.71000000000294
217,-609.6000000000055,500,0,-321.33800000000303
218,214.10000000000008,81,1,-305.0500000000029
219,-609.6000000000048,500,0,-302.0320000000029
220,-1020.9000000000066,500,0,-325.174000000003
221,128.10000000000042,151,1,-322.678000000003
222,-1064.3000000000047,500,0,-348.1060000000031
223,113.50000000000048,140,1,-350.4420000000032
224,215.40000000000003,80,1,-350.08000000000305
225,-957.4000000000066,500,0,-374.42600000000317
226,94.0000000000006,182,1,-356.62000000000313
227,-574.1000000000049,500,0,-354.6540000000031
228,57.80000000000064,191,1,-340.2420000000031
229,205.0000000000001,89,1,-339.8240000000031
230,163.40000000000026,127,1,-322.4180000000029
231,-601.1000000000055,500,0,-339.01000000000306
232,188.80000000000018,104,1,-323.7540000000029
233,198.40000000000015,87,1,-307.7940000000028
234,193.00000000000017,100,1,-291.92400000000265
235,-654.6000000000056,500,0,-293.5320000000027
236,-591.8000000000054,500,0,-293.5360000000027
237,69.00000000000074,205,1,-281.03600000000256
238,-547.300000000005,500,0,-280.6820000000026
239,-564.900000000005,500,0,-293.19000000000267
240,-8.100000000000705,178,1,-273.4920000000026
241,-948.5000000000067,500,0,-270.28400000000266
242,171.70000000000013,95,1,-254.1260000000025
243,190.90000000000015,102,1,-250.1880000000025
244,-671.0000000000052,500,0,-267.22400000000266
245,-229.00000000000352,420,1,-260.3320000000026
246,-592.1000000000049,500,0,-269.27800000000263
247,152.50000000000034,137,1,-264.7840000000026
248,171.90000000000015,103,1,-264.8800000000026
249,30.300000000000637,248,1,-252.79200000000253
250,-618.3000000000048,500,0,-269.6980000000026
251,-547.3000000000051,500,0,-283.6740000000027
252,170.80000000000027,120,1,-268.77200000000255
253,-346.10000000000423,437,1,-260.66200000000254
254,187.00000000000006,73,1,-253.27000000000248
255,109.90000000000052,168,1,-255.30800000000247
256,212.80000000000007,82,1,-238.49400000000242
257,91.7000000000005,168,1,-225.70200000000227
258,-644.8000000000058,500,0,-241.84400000000238
259,211.7000000000001,83,1,-226.3080000000023
260,191.10000000000016,102,1,-225.07200000000228
261,227.2,69,1,-199.77600000000214
262,-600.5000000000051,500,0,-200.30600000000217
263,-565.3000000000052,500,0,-200.30400000000216
264,-592.2000000000049,500,0,-213.66600000000224
265,99.30000000000061,186,1,-199.67200000000213
266,172.30000000000024,119,1,-198.54400000000211
267,31.100000000000307,175,1,-185.73000000000204
268,-618.1000000000053,500,0,-202.37400000000216
269,23.90000000000009,149,1,-189.70400000000208
270,35.100000000000534,196,1,-168.5840000000019
271,214.00000000000003,73,1,-166.86600000000192
272,227.2,69,1,-141.03600000000182
273,199.9000000000001,86,1,-139.3080000000018
274,-617.6000000000053,500,0,-155.96800000000195
275,104.50000000000037,116,1,-134.73000000000178
276,-582.1000000000049,500,0,-148.2520000000019
277,69.9000000000006,172,1,-135.37200000000178
278,1.2000000000000455,276,1,-136.5040000000018
279,144.80000000000038,144,1,-137.7080000000018
280,196.50000000000014,97,1,-137.0460000000018
281,-608.3000000000054,500,0,-137.19000000000182
282,-152.50000000000244,302,1,-144.01600000000187
283,162.8000000000002,112,1,-144.72800000000186
284,137.70000000000036,143,1,-145.83400000000185
285,230.7,66,1,-128.12800000000175
286,-644.600000000005,500,0,-129.18400000000173
287,173.50000000000026,118,1,-127.09400000000176
288,-644.1000000000047,500,0,-129.03000000000173
289,142.10000000000022,114,1,-114.89000000000165
290,187.30000000000013,97,1,-110.98200000000162
291,167.30000000000027,124,1,-88.66600000000147
292,-563.5000000000049,500,0,-103.37000000000157
293,171.30000000000015,104,1,-103.76200000000158
294,230.79999999999995,66,1,-85.72600000000148
295,-741.6000000000051,500,0,-95.97800000000149
296,119.10000000000048,143,1,-81.7540000000014
297,222.10000000000002,74,1,-80.3620000000014
298,210.9000000000001,84,1,-79.5820000000014
299,186.9000000000002,90,1,-76.45000000000142
300,189.50000000000017,104,1,-60.29400000000132
301,134.60000000000014,73,1,-46.65600000000122
302,243.29999999999995,55,1,-45.206000000001204
303,-804.9000000000051,500,0,-54.38200000000123
304,221.20000000000005,75,1,-53.69800000000123
305,-786.8000000000053,500,0,-71.63200000000134
306,231.89999999999998,57,1,-71.25000000000135
307,202.5000000000001,68,1,-69.03400000000136
308,212.10000000000008,83,1,-51.89600000000125
309,213.30000000000004,83,1,-51.86400000000124
310,201.7000000000001,93,1,-51.652000000001244
311,-1606.199999999977,500,0,-88.32000000000079
312,-1080.6000000000029,500,0,-97.92200000000075
313,230.49999999999997,67,1,-82.00600000000064
314,201.9000000000001,52,1,-66.12400000000055
315,-1132.0000000000023,500,0,-90.7500000000006
