episode,reward,length,success,avg_last_50
1,-553.6000000000015,250,0,-553.6000000000015
2,-617.9000000000018,250,0,-585.7500000000016
3,-663.2000000000021,250,0,-611.5666666666684
4,-447.5000000000016,250,0,-570.5500000000018
5,-430.10000000000105,250,0,-542.4600000000016
6,-644.1000000000017,250,0,-559.4000000000017
7,-339.0000000000005,250,0,-527.9142857142872
8,-538.6000000000018,250,0,-529.2500000000016
9,87.00000000000031,150,1,-460.7777777777792
10,-581.6000000000017,250,0,-472.8600000000015
11,-38.60000000000031,150,1,-433.3818181818196
12,-518.8000000000027,250,0,-440.50000000000153
13,-804.900000000002,250,0,-468.53076923077083
14,-536.4000000000005,250,0,-473.3785714285729
15,-572.7000000000019,250,0,-480.00000000000153
16,196.20000000000007,89,1,-437.7375000000013
17,-76.40000000000038,195,1,-416.48235294117774
18,-618.1000000000014,250,0,-427.6833333333346
19,-528.8000000000009,250,0,-433.005263157896
20,-635.9000000000015,250,0,-443.1500000000013
21,-238.90000000000032,211,1,-433.42380952381075
22,-500.800000000002,250,0,-436.48636363636484
23,93.30000000000035,127,1,-413.4521739130446
24,73.90000000000018,112,1,-393.14583333333445
25,-565.9000000000016,250,0,-400.0560000000012
26,-357.50000000000057,250,0,-398.4192307692319
27,-5.800000000000239,211,1,-383.8777777777789
28,196.70000000000007,73,1,-363.1428571428582
29,-619.3000000000013,250,0,-371.97586206896653
30,-617.2000000000021,250,0,-380.1500000000011
31,-91.30000000000041,165,1,-370.83225806451725
32,71.00000000000026,139,1,-357.025000000001
33,-85.20000000000016,176,1,-348.7878787878798
34,-178.60000000000184,213,1,-343.7823529411775
35,-166.6000000000011,244,1,-338.720000000001
36,-199.90000000000066,224,1,-334.8638888888899
37,-653.5000000000015,250,0,-343.4756756756767
38,-583.1000000000015,250,0,-349.7815789473695
39,-511.0000000000013,250,0,-353.91538461538573
40,-555.8000000000015,250,0,-358.96250000000106
41,-512.3000000000017,250,0,-362.7024390243913
42,-523.7000000000021,235,1,-366.53571428571536
43,-8.50000000000017,138,1,-358.2093023255824
44,49.70000000000053,184,1,-348.9386363636374
45,-1.7000000000001023,141,1,-341.22222222222325
46,204.00000000000006,91,1,-329.3695652173923
47,209.50000000000006,61,1,-317.9042553191499
48,-72.30000000000075,165,1,-312.787500000001
49,-627.2000000000027,250,0,-319.20408163265404
50,174.20000000000007,85,1,-309.336000000001
51,190.4000000000001,70,1,-294.45600000000087
52,79.60000000000039,148,1,-280.50600000000094
53,-350.60000000000207,214,1,-274.2540000000009
54,-258.30000000000086,221,1,-270.47000000000094
55,255.59999999999997,43,1,-256.7560000000009
56,-43.10000000000082,153,1,-244.73600000000087
57,-555.0000000000013,250,0,-249.05600000000086
58,30.20000000000016,160,1,-237.68000000000083
59,48.70000000000019,86,1,-238.44600000000082
60,-319.20000000000164,210,1,-233.19800000000083
61,-203.9000000000014,187,1,-236.5040000000009
62,113.90000000000018,91,1,-223.85000000000085
63,147.2000000000002,77,1,-204.80800000000076
64,232.3,48,1,-189.43400000000074
65,20.500000000000057,120,1,-177.57000000000073
66,221.90000000000003,58,1,-177.05600000000072
67,131.80000000000007,92,1,-172.89200000000073
68,195.90000000000003,57,1,-156.61200000000068
69,131.60000000000022,133,1,-143.40400000000062
70,166.50000000000009,76,1,-127.3560000000006
71,51.80000000000027,99,1,-121.54200000000061
72,47.700000000000216,95,1,-110.57200000000056
