episode,reward,length,success,avg_last_50
1,-1129.3999999999996,500,0,-1129.3999999999996
2,-1400.0999999999967,500,0,-1264.7499999999982
3,-1101.7000000000048,500,0,-1210.4000000000003
4,-1185.0999999999976,500,0,-1204.0749999999998
5,-809.9000000000044,500,0,-1125.2400000000007
6,-826.6000000000062,500,0,-1075.4666666666683
7,-890.4000000000067,500,0,-1049.0285714285737
8,-1159.0000000000025,500,0,-1062.7750000000024
9,-899.900000000005,500,0,-1044.6777777777804
10,-545.7000000000066,491,1,-994.780000000003
11,-918.6000000000071,500,0,-987.8545454545489
12,-613.0000000000042,500,0,-956.6166666666701
13,-847.2000000000048,500,0,-948.2000000000036
14,-298.80000000000314,371,1,-901.8142857142892
15,-1016.9000000000044,500,0,-909.4866666666702
16,-149.9000000000011,317,1,-862.0125000000035
17,-157.60000000000105,234,1,-820.5764705882385
18,-783.1000000000053,500,0,-818.4944444444478
19,-66.10000000000139,207,1,-778.8947368421086
20,-510.800000000003,295,1,-765.4900000000033
21,-751.000000000002,418,1,-764.8000000000033
22,-556.3000000000036,404,1,-755.3227272727305
23,126.4000000000002,104,1,-716.9869565217422
24,-648.3000000000043,429,1,-714.1250000000031
25,-348.00000000000455,417,1,-699.4800000000031
26,-146.80000000000132,265,1,-678.2230769230799
27,-606.0000000000067,480,1,-675.5481481481513
28,181.50000000000009,86,1,-644.9392857142888
29,-393.90000000000384,443,1,-636.2827586206928
30,-98.80000000000138,196,1,-618.3666666666699
31,47.70000000000044,168,1,-596.8806451612934
32,-88.10000000000116,243,1,-580.981250000003
33,-70.4000000000002,170,1,-565.5090909090939
34,-139.50000000000233,390,1,-552.9794117647089
35,-75.80000000000109,208,1,-539.3457142857171
36,145.50000000000017,95,1,-520.322222222225
37,-33.50000000000023,177,1,-507.1648648648676
38,158.60000000000025,99,1,-489.64473684210793
39,-2140.1999999999907,500,0,-531.966666666669
40,-178.40000000000163,252,1,-523.1275000000022
41,4.299999999999727,192,1,-510.26341463414855
42,55.40000000000035,128,1,-496.7952380952402
43,71.40000000000023,130,1,-483.58139534883924
44,64.80000000000035,145,1,-471.1181818181838
45,-95.40000000000077,169,1,-462.7688888888909
46,187.50000000000014,106,1,-448.63260869565414
47,-45.70000000000084,180,1,-440.059574468087
48,242.39999999999998,55,1,-425.8416666666685
49,183.70000000000005,68,1,-413.40204081632834
50,-108.10000000000082,139,1,-407.2960000000018
51,-106.3000000000012,194,1,-386.8340000000019
52,86.7000000000003,108,1,-357.09800000000195
53,160.8000000000002,97,1,-331.84800000000183
54,199.3000000000001,62,1,-304.16000000000184
55,235.89999999999998,45,1,-283.2440000000018
56,-320.50000000000193,236,1,-273.12200000000166
57,-1925.6999999999898,500,0,-293.8280000000014
58,-1124.699999999995,385,1,-293.1420000000012
59,-324.10000000000207,198,1,-281.62600000000117
60,-148.0000000000001,143,1,-273.67200000000105
61,-24.400000000000375,121,1,-255.78800000000086
62,138.70000000000016,77,1,-240.7540000000008
63,-6.600000000000136,79,1,-223.9420000000007
64,35.80000000000018,89,1,-217.25000000000065
65,254.29999999999998,36,1,-191.82600000000056
66,167.8000000000001,58,1,-185.47200000000055
67,-1846.5999999999908,500,0,-219.25200000000038
68,235.39999999999998,37,1,-198.88200000000023
69,-1729.9999999999932,500,0,-232.16000000000003
70,-1328.7999999999902,459,1,-248.51999999999978
71,209.0,53,1,-229.31999999999974
72,192.49999999999997,68,1,-214.34399999999968
73,130.7000000000001,84,1,-214.25799999999967
74,-1577.899999999992,500,0,-232.84999999999945
75,-68.9000000000002,112,1,-227.26799999999935
76,3.799999999999784,102,1,-224.25599999999932
77,6.699999999999761,116,1,-212.0019999999992
78,150.1000000000001,91,1,-212.6299999999992
79,-210.7000000000006,127,1,-208.96599999999916
80,-871.9000000000005,332,1,-224.42799999999914
81,243.59999999999997,54,1,-220.50999999999908
82,-290.10000000000366,354,1,-224.5499999999992
83,80.50000000000034,130,1,-221.53199999999916
84,-715.0000000000025,262,1,-233.04199999999912
85,89.70000000000027,121,1,-229.7319999999991
86,-219.00000000000114,175,1,-237.02199999999914
87,-646.3000000000028,289,1,-249.2779999999992
88,38.500000000000114,111,1,-251.6799999999992
89,223.10000000000002,40,1,-204.4139999999994
90,72.60000000000025,88,1,-199.39399999999935
91,-473.00000000000216,220,1,-208.93999999999937
92,-418.7000000000021,219,1,-218.42199999999946
93,111.70000000000024,93,1,-217.61599999999945
94,190.3,54,1,-215.10599999999948
95,57.30000000000027,110,1,-212.05199999999942
96,143.40000000000012,105,1,-212.93399999999943
97,51.90000000000026,115,1,-210.98199999999943
98,241.7,56,1,-210.9959999999994
99,218.30000000000004,61,1,-210.3039999999994
100,207.40000000000006,79,1,-203.9939999999994
101,-111.30000000000092,150,1,-204.0939999999994
102,236.99999999999994,60,1,-201.0879999999994
103,226.8,45,1,-199.7679999999994
104,206.80000000000004,55,1,-199.6179999999994
105,-444.0000000000023,218,1,-213.21599999999944
106,221.70000000000002,74,1,-202.37199999999936
107,224.40000000000003,47,1,-159.3699999999996
108,151.1,57,1,-133.8539999999997
109,169.3,73,1,-123.98599999999963
110,55.8000000000001,79,1,-119.90999999999964
111,177.00000000000009,66,1,-115.88199999999962
112,254.7,36,1,-113.56199999999964
113,-1126.299999999998,304,1,-135.9559999999996
114,-50.89999999999998,87,1,-137.6899999999996
115,-3377.799999999993,500,0,-210.33199999999945
116,-104.70000000000073,128,1,-215.78199999999947
117,-593.5000000000034,281,1,-190.71999999999974
118,-476.50000000000296,264,1,-204.9579999999998
119,-22.200000000000102,77,1,-170.80199999999996
120,274.1,26,1,-138.7440000000001
121,-3128.3999999999974,500,0,-205.49200000000008
122,162.3,47,1,-206.0960000000001
123,242.1,39,1,-203.86800000000005
124,-3315.1999999999944,500,0,-238.61400000000015
125,-411.6000000000017,213,1,-245.4680000000002
126,-1553.4999999999914,466,1,-276.614
127,199.20000000000005,62,1,-272.76399999999995
128,-17.800000000000068,130,1,-276.12199999999996
129,8.400000000000034,106,1,-271.73999999999995
130,-14.500000000000114,127,1,-254.59199999999998
131,-3306.599999999996,500,0,-325.59599999999983
132,-620.4000000000013,201,1,-332.2019999999998
133,205.50000000000006,89,1,-329.7019999999998
134,-62.400000000000205,138,1,-316.6499999999998
135,133.20000000000005,57,1,-315.7799999999998
136,-585.100000000002,225,1,-323.1019999999998
137,-3420.0,500,0,-378.5759999999998
138,79.50000000000028,98,1,-377.75599999999974
139,66.80000000000013,77,1,-380.8819999999998
140,11.800000000000068,103,1,-382.09799999999973
141,-40.200000000000045,118,1,-373.4419999999998
142,-93.89999999999992,136,1,-366.94599999999974
143,26.499999999999943,98,1,-368.6499999999997
144,196.8,56,1,-368.51999999999964
145,248.89999999999998,41,1,-364.68799999999965
146,61.300000000000125,74,1,-366.3299999999997
147,-24.799999999999955,96,1,-367.86399999999975
148,190.70000000000002,62,1,-368.8839999999997
149,244.29999999999998,37,1,-368.36399999999963
150,148.00000000000006,60,1,-369.55199999999974
151,-1833.3999999999915,500,0,-403.9939999999995
152,-11.799999999999898,92,1,-408.9699999999995
153,179.10000000000008,56,1,-409.9239999999995
154,-295.90000000000066,132,1,-419.9779999999996
155,132.1000000000001,83,1,-408.45599999999956
156,-3875.2999999999993,500,0,-490.39599999999956
157,-185.20000000000005,112,1,-498.58799999999945
158,154.80000000000004,70,1,-498.5139999999995
159,-307.5999999999999,160,1,-508.05199999999945
160,140.40000000000012,84,1,-506.35999999999945
161,158.10000000000002,51,1,-506.73799999999943
162,145.90000000000015,70,1,-508.91399999999953
163,269.9,30,1,-480.98999999999944
164,143.0,40,1,-477.1119999999995
165,119.80000000000001,45,1,-407.1599999999996
166,225.5,46,1,-400.55599999999964
167,252.79999999999998,46,1,-383.6299999999995
168,106.60000000000005,57,1,-371.9679999999995
169,161.1,48,1,-368.3019999999995
170,-182.40000000000038,127,1,-377.43199999999956
171,142.4,49,1,-312.01599999999956
172,-4276.499999999999,500,0,-400.7919999999995
173,86.80000000000004,59,1,-403.89799999999957
